Date : 2021-01-13 14:57:34
Directory : /home/ebm/Documents/RiverWorks/turtleapi
Total : 70 files,  1812 codes, 339 comments, 563 blanks, all 2714 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /home/ebm/Documents/RiverWorks/turtleapi/portfolio/myhood/apps.py                                 | Python           |          3 |          0 |          3 |          6 |
| /home/ebm/Documents/RiverWorks/turtleapi/portfolio/myhood/migrations/0001_initial.py              | Python           |         26 |          1 |          7 |         34 |
| /home/ebm/Documents/RiverWorks/turtleapi/portfolio/myhood/migrations/0002_post.py                 | Python           |         16 |          1 |          6 |         23 |
| /home/ebm/Documents/RiverWorks/turtleapi/portfolio/myhood/migrations/__init__.py                  | Python           |          0 |          0 |          1 |          1 |
| /home/ebm/Documents/RiverWorks/turtleapi/portfolio/myhood/models.py                               | Python           |         15 |          1 |          5 |         21 |
| /home/ebm/Documents/RiverWorks/turtleapi/portfolio/myhood/serializers.py                          | Python           |         19 |          0 |          1 |         20 |
| /home/ebm/Documents/RiverWorks/turtleapi/portfolio/myhood/tests.py                                | Python           |          1 |          1 |          2 |          4 |
| /home/ebm/Documents/RiverWorks/turtleapi/portfolio/myhood/urls.py                                 | Python           |         11 |          3 |          5 |         19 |
| /home/ebm/Documents/RiverWorks/turtleapi/portfolio/myhood/views.py                                | Python           |         23 |          0 |          3 |         26 |
| /home/ebm/Documents/RiverWorks/turtleapi/portfolio/portfolio/__init__.py                          | Python           |          0 |          0 |          1 |          1 |
| /home/ebm/Documents/RiverWorks/turtleapi/portfolio/portfolio/migrations/0001_initial.py           | Python           |        144 |          1 |          7 |        152 |
| /home/ebm/Documents/RiverWorks/turtleapi/portfolio/portfolio/migrations/__init__.py               | Python           |          0 |          0 |          1 |          1 |
| /home/ebm/Documents/RiverWorks/turtleapi/portfolio/portfolio/settings.py                          | Python           |         93 |         39 |         38 |        170 |
| /home/ebm/Documents/RiverWorks/turtleapi/portfolio/portfolio/urls.py                              | Python           |        393 |        117 |        127 |        637 |
| /home/ebm/Documents/RiverWorks/turtleapi/portfolio/portfolio/wsgi.py                              | Python           |          4 |          8 |          5 |         17 |
| /home/ebm/Documents/RiverWorks/turtleapi/portfolio/sharing/__init__.py                            | Python           |          0 |          0 |          1 |          1 |
| /home/ebm/Documents/RiverWorks/turtleapi/portfolio/sharing/admin.py                               | Python           |          1 |          1 |          2 |          4 |
| /home/ebm/Documents/RiverWorks/turtleapi/portfolio/sharing/apps.py                                | Python           |          3 |          0 |          3 |          6 |
| /home/ebm/Documents/RiverWorks/turtleapi/portfolio/sharing/migrations/0001_initial.py             | Python           |         27 |          1 |          7 |         35 |
| /home/ebm/Documents/RiverWorks/turtleapi/portfolio/sharing/migrations/0002_auto_20201209_0611.py  | Python           |         17 |          1 |          6 |         24 |
| /home/ebm/Documents/RiverWorks/turtleapi/portfolio/sharing/migrations/0003_sharing_voters_like.py | Python           |         14 |          1 |          6 |         21 |
| /home/ebm/Documents/RiverWorks/turtleapi/portfolio/sharing/migrations/0004_auto_20201209_0728.py  | Python           |         19 |          1 |          6 |         26 |
| /home/ebm/Documents/RiverWorks/turtleapi/portfolio/sharing/migrations/0005_comments.py            | Python           |         19 |          1 |          6 |         26 |
| /home/ebm/Documents/RiverWorks/turtleapi/portfolio/sharing/migrations/0006_auto_20201224_0725.py  | Python           |         12 |          1 |          6 |         19 |
| /home/ebm/Documents/RiverWorks/turtleapi/portfolio/sharing/migrations/__init__.py                 | Python           |          0 |          0 |          1 |          1 |
| /home/ebm/Documents/RiverWorks/turtleapi/portfolio/sharing/models.py                              | Python           |         25 |          0 |         12 |         37 |
| /home/ebm/Documents/RiverWorks/turtleapi/portfolio/sharing/serializers.py                         | Python           |         19 |          3 |          5 |         27 |
| /home/ebm/Documents/RiverWorks/turtleapi/portfolio/sharing/tests.py                               | Python           |          1 |          1 |          2 |          4 |
| /home/ebm/Documents/RiverWorks/turtleapi/portfolio/sharing/urls.py                                | Python           |         10 |          2 |          5 |         17 |
| /home/ebm/Documents/RiverWorks/turtleapi/portfolio/sharing/views.py                               | Python           |         21 |          0 |          4 |         25 |
| /home/ebm/Documents/RiverWorks/turtleapi/portfolio/user/__init__.py                               | Python           |          0 |          0 |          1 |          1 |
| /home/ebm/Documents/RiverWorks/turtleapi/portfolio/user/admin.py                                  | Python           |          3 |          1 |          1 |          5 |
| /home/ebm/Documents/RiverWorks/turtleapi/portfolio/user/apps.py                                   | Python           |          3 |          0 |          3 |          6 |
| /home/ebm/Documents/RiverWorks/turtleapi/portfolio/user/migrations/0001_initial.py                | Python           |         26 |          1 |          7 |         34 |
| /home/ebm/Documents/RiverWorks/turtleapi/portfolio/user/migrations/__init__.py                    | Python           |          0 |          0 |          1 |          1 |
| /home/ebm/Documents/RiverWorks/turtleapi/portfolio/user/models.py                                 | Python           |         25 |          7 |          5 |         37 |
| /home/ebm/Documents/RiverWorks/turtleapi/portfolio/user/serializers.py                            | Python           |         49 |         26 |         15 |         90 |
| /home/ebm/Documents/RiverWorks/turtleapi/portfolio/user/tests.py                                  | Python           |          1 |          1 |          2 |          4 |
| /home/ebm/Documents/RiverWorks/turtleapi/portfolio/user/urls.py                                   | Python           |         11 |          2 |          4 |         17 |
| /home/ebm/Documents/RiverWorks/turtleapi/portfolio/user/views.py                                  | Python           |         30 |         14 |         12 |         56 |
| /home/ebm/Documents/RiverWorks/turtleapi/requirements.txt                                         | pip requirements |         54 |          0 |          1 |         55 |
| /home/ebm/Documents/RiverWorks/turtleapi/zappa_settings.json                                      | JSON             |         11 |          0 |          1 |         12 |
| Total                                                                                             |                  |      1,812 |        339 |        563 |      2,714 |
+---------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
