"filename", "language", "Docker", "YAML", "JSON", "Markdown", "pip requirements", "Python", "comment", "blank", "total"
"/home/ebm/Documents/RiverWorks/turtleapi/portfolio/sharing/admin.py", "Python", 0, 0, 0, 0, 0, 1, 1, 2, 4
"/home/ebm/Documents/RiverWorks/turtleapi/portfolio/sharing/apps.py", "Python", 0, 0, 0, 0, 0, 3, 0, 3, 6
"/home/ebm/Documents/RiverWorks/turtleapi/portfolio/sharing/migrations/0001_initial.py", "Python", 0, 0, 0, 0, 0, 27, 1, 7, 35
"/home/ebm/Documents/RiverWorks/turtleapi/portfolio/sharing/migrations/0002_auto_20201209_0611.py", "Python", 0, 0, 0, 0, 0, 17, 1, 6, 24
"/home/ebm/Documents/RiverWorks/turtleapi/portfolio/sharing/migrations/0003_sharing_voters_like.py", "Python", 0, 0, 0, 0, 0, 14, 1, 6, 21
"/home/ebm/Documents/RiverWorks/turtleapi/portfolio/sharing/migrations/0004_auto_20201209_0728.py", "Python", 0, 0, 0, 0, 0, 19, 1, 6, 26
"/home/ebm/Documents/RiverWorks/turtleapi/portfolio/sharing/migrations/0005_comments.py", "Python", 0, 0, 0, 0, 0, 19, 1, 6, 26
"/home/ebm/Documents/RiverWorks/turtleapi/portfolio/sharing/migrations/0006_auto_20201224_0725.py", "Python", 0, 0, 0, 0, 0, 12, 1, 6, 19
"/home/ebm/Documents/RiverWorks/turtleapi/portfolio/sharing/migrations/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/ebm/Documents/RiverWorks/turtleapi/portfolio/sharing/models.py", "Python", 0, 0, 0, 0, 0, 25, 0, 12, 37
"/home/ebm/Documents/RiverWorks/turtleapi/portfolio/sharing/serializers.py", "Python", 0, 0, 0, 0, 0, 19, 3, 5, 27
"/home/ebm/Documents/RiverWorks/turtleapi/portfolio/sharing/tests.py", "Python", 0, 0, 0, 0, 0, 1, 1, 2, 4
"/home/ebm/Documents/RiverWorks/turtleapi/portfolio/sharing/urls.py", "Python", 0, 0, 0, 0, 0, 10, 2, 5, 17
"/home/ebm/Documents/RiverWorks/turtleapi/portfolio/sharing/views.py", "Python", 0, 0, 0, 0, 0, 21, 0, 4, 25
"/home/ebm/Documents/RiverWorks/turtleapi/portfolio/user/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/ebm/Documents/RiverWorks/turtleapi/portfolio/user/admin.py", "Python", 0, 0, 0, 0, 0, 3, 1, 1, 5
"/home/ebm/Documents/RiverWorks/turtleapi/portfolio/user/apps.py", "Python", 0, 0, 0, 0, 0, 3, 0, 3, 6
"/home/ebm/Documents/RiverWorks/turtleapi/portfolio/user/migrations/0001_initial.py", "Python", 0, 0, 0, 0, 0, 26, 1, 7, 34
"/home/ebm/Documents/RiverWorks/turtleapi/portfolio/user/migrations/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/ebm/Documents/RiverWorks/turtleapi/portfolio/user/models.py", "Python", 0, 0, 0, 0, 0, 25, 7, 5, 37
"/home/ebm/Documents/RiverWorks/turtleapi/portfolio/user/serializers.py", "Python", 0, 0, 0, 0, 0, 49, 26, 15, 90
"/home/ebm/Documents/RiverWorks/turtleapi/portfolio/user/tests.py", "Python", 0, 0, 0, 0, 0, 1, 1, 2, 4
"/home/ebm/Documents/RiverWorks/turtleapi/portfolio/user/urls.py", "Python", 0, 0, 0, 0, 0, 11, 2, 4, 17
"/home/ebm/Documents/RiverWorks/turtleapi/portfolio/user/views.py", "Python", 0, 0, 0, 0, 0, 30, 14, 12, 56
"/home/ebm/Documents/RiverWorks/turtleapi/requirements.txt", "pip requirements", 0, 0, 0, 0, 54, 0, 0, 1, 55
"/home/ebm/Documents/RiverWorks/turtleapi/zappa_settings.json", "JSON", 0, 0, 11, 0, 0, 0, 0, 1, 12
"Total", "-", 9, 6, 11, 100, 54, 1632, 339, 563, 2714
